method,fdr_overall,set_size_mean,miscoverage,avg_utility,fdr_a0,fdr_a1,fdr_a2,fdr_a3
AC-RAC,0.6992796410014172,3.372933396315541,0.0543221539914974,6.7952290977798775,0.5364077669902912,0.5319148936170213,0.5782608695652174,0.7135928608380755
RAC,0.6821169894504802,3.251535191308456,0.0472366556447803,7.55810108644308,0.5645038167938932,0.5172413793103449,,0.7369890616004604
Score-1,0.5845339316643048,2.468351440717997,0.0507794048181389,6.795465281058101,0.105,0.0,,0.6092146640185369
Score-2,0.5499527633443552,2.4192253188474258,0.0512517713745866,7.118327822390175,0.1233396584440227,0.0909090909090909,,0.6137042062415197
