Method,Mean prediction-set size,Overall FDR
AC-RAC,3.372933396315541,0.6992796410014172
RAC,3.251535191308456,0.6821169894504802
Score-1,2.468351440717997,0.5845339316643048
Score-2,2.4192253188474258,0.5499527633443552
